Jugador	29/05/2025	22/05/2025	16/05/2025	09/05/2025	03/05/2025	26/04/2025	19/04/2025	12/04/2025	05/04/0205	30/03/2025	23/03/2025
Maath JTM Faselli	10650	9990	9830	9780	9200	8940	8520	8410	7900	7890	7720
Gita	6870	6250	6750	5990	6870	4860	6870	6650	4320	6870	6760
GRANJEDI Tito1	6520	5953	5530	5600	5256	5480	4248	4210	4180	3870	3570
Peleas	4180	3924	4130	3920	3948	3850	3789	3920	3280	3780	3670
Blas	3990	3860	3440	3720	3385	3020	3297	2590	3280	2250	2800
Mik Bat	3460	3187	3300	3200	3340	3040	3112	3300	2090	3270	3110
PequeñoPadawan	3840	3856	3820	2700	1990	2210
Mhann Uhdea	3140	3120	3040	3110	3180	2850	3048	3300	2850	3020	3030
JediSevillano	3560	3662	2430	2900	3063	2570	2903	2760	2710	2770	2600
josmartini	3100	3012	2990	3020	2765	2840	2976	2850	2650	2830	2250
Mou topor	3520	2781	3320	3450	1901	2450	1868	2470	2420	1920	2690
R3CO	2610	2483	2590	2550	2520	2400	2546	2370	2610	2280	2220
MALAGA	3540	3390	2670	1800	1707	1200	2607	1860	1860
Ben	2130	2166	2150	2380	2216	2060	2218	1980	2270	1970	2190
Viula Dourshe	2710	2332	2140	2250	2293	1800	2003	2030	1800	1780	1800
Nakillo	2400	2400	2580	2410	2200	0	2360	1200	2400	2320	0
Cente	2650	2450	2340	1770	2094	0	1852	1730	1660	1820	1850
Hill	1820	1728	1730	1200	1676	1660	1782	1610	1680	1780	1720
Cal Kestis	1460	1420	1340	1260	1420	1380	1200	1190	1130	1170	1330
Temnyy	1800	1800	1500	1380	1500	1390	1460	1220	780	1150	0
MALAGA 2	1240
ELDIEGO64	1200
Remus	1650	1720	1650	1640	641	1290	783	1220	975	780	724
Dass Jenir	1310	1046	1260	1040	1087	819	1075	1160	1300	1160	1270
Josepatches	1350	450	450	1300	1350	1350	0	1300	1570	2010	1350
Lucas Escaivazquez	1160	1113	1220	1110	1040	1150	1021	1050	1050	988	1050
Mariskal101DA	530	1026	1020	962	1029	1130	1026	1050	1050	1130	1070
Darkguderian	1170	1067	1010	1010	1025	795	973	1040	859	1000	880
Bald Dart	957	994	1000	980	944	880	894	843	811
Marblagar	0	991	1040	1100	784	1180	719	1220	600	911	764
Dace Joy	1050	1050	900	900	900	900	900	900	0	900	900
Cerilio	861	743	925	606	846	810	617	657	658	776	810
Oldboy	788	689	710	767	700	768	854	810	692	700	676
JokerVerde	1110	940	866	562	633	410	664
cafre	0	0	0	1430	399	0	1788	2130	0	864	1320
Dark imdroc	873	799	586	734	951	713	0	710	692	716	802
ALEX TANO	583	580	583
PaulSkywalker95	229	550	572	696	699	497	761	572	577	527	572
Charly	697	694	697	737	0	619	619	670	450	0	691
Aguilet	901	624	580	462	264	267
Dante	465	503	474	493	482	536	471	506	431	453	403
Khando	648	596	330	741	638	654	0	0	339	546	630
Kairas	520	485	469	486	520	0	520	520	469	520	520
Varon John Eden	645	639	579	254	584	0	754	330	472	169
VIRUS	469	0	469	692	520	520	469	523	469	300	300
Pas Pain	504	528	461	569	432	439	0	391	494	325	500
Mol Eliza	821	0	0	614	496	659	520	655	0	0	761
Halcon 39	0	619	659	0	0	714	492	680	0	670	619
wSS DE	483	397	0	462	223	0	350	395	0	563	514
obi1 obi2 obi123	0			0	0	429	0	0	0	483	480
