Jugador	PG		26/05/2025	12/05/2025		28/04/2025		14/04/2025
Gita	11,7	87	7,44	88	7,52	89	7,61	85	7,26
Maath JTM Faselli	10,7	85	7,94	84	7,85	81	7,57	81	7,57
PequeñoPadawan	11,1	81	7,30	83	7,48	80	7,21
Ben	10,1	72	7,13	72	7,13	72	7,13	69	6,83
Blas	10,3	64	6,21	77	7,48	73	7,09	61	5,92
josmartini	10,9	45	4,13	76	6,97	75	6,88	74	6,79
Mariskal101DA	10,2	46	4,51	61	5,98	69	6,76	60	5,88
Viula Dourshe	10,5	64	6,10	72	6,86	71	6,76	70	6,67
Oldboy	9,5	63	6,63	62	6,53	63	6,63	61	6,42
Cal Kestis	10,3	73	7,09	70	6,80	68	6,60	60	5,83
JediSevillano	9,4	65	6,91	64	6,81	62	6,60	61	6,49
Mou topor	10,3	55	5,34	69	6,70	67	6,50	67	6,50
R3CO	10,3	55	5,34	58	5,63	65	6,31	45	4,37
Darkguderian	7	48	6,86	45	6,43	44	6,29	44	6,29
GRANJEDI Tito1	9,9	54	5,45	63	6,36	62	6,26	62	6,26
Lucas Escaivazquez	9,5	48	5,05	31	3,26	59	6,21	38	4,00
Dark imdroc	8,4	52	6,19	52	6,19	52	6,19	26	3,10
Aguilet	4,2	35	8,33	33	7,86	26	6,19
Bald Dart	8,1	50	6,17	50	6,17	49	6,05	49	6,05
Kairas	6,8	42	6,18	42	6,18	41	6,03	41	6,03
Mik Bat	11,3	58	5,13	71	6,28	68	6,02	56	4,96
Hill	10,5	42	4,00	65	6,19	63	6,00	63	6,00
Pas Pain	8,5	35	4,12	54	6,35	51	6,00	42	4,94
Dace Joy	7,5	45	6,00	45	6,00	45	6,00	45	6,00
Cente	10,2	70	6,86	71	6,96	55	5,39	52	5,10
Dass Jenir	7,4	32	4,32	49	6,62	39	5,27	46	6,22
Mhann Uhdea	10,3	44	4,27	55	5,34	54	5,24	54	5,24
PaulSkywalker95	7,9	49	6,20	40	5,06	40	5,06	39	4,94
Marblagar	8,7	28	3,22	53	6,09	44	5,06	55	6,32
Dante	9,1	56	6,15	55	6,04	46	5,05	46	5,05
MALAGA	11,5	71	6,17	62	5,39	58	5,04	58	5,04
JokerVerde	9,2	52	5,65	47	5,11	40	4,35	41	4,46
Nakillo	9,7	54	5,57	43	4,43	41	4,23	51	5,26
Mol Eliza	9	19	2,11	18	2,00	38	4,22	37	4,11
Temnyy	7,7	33	4,29	48	6,23	32	4,16	33	4,29
Josepatches	10,6	54	5,09	53	5,00	43	4,06	21	1,98
Cerilio	8,9	27	3,03	36	4,04	36	4,04	28	3,15
VIRUS	10,2	52	5,10	50	4,90	41	4,02	40	3,92
wSS DE	8,9	36	4,04	36	4,04	35	3,93	45	5,06
Peleas	9,8	34	3,47	43	4,39	38	3,88	53	5,41
Varon John Eden	8,8	36	4,09	36	4,09	26	2,95	26	2,95
cafre	8,7	18	2,07	24	2,76	20	2,30	12	1,38
Khando	6,9	28	4,06	28	4,06	14	2,03	20	2,90
Remus	10,1	65	6,44	65	6,44	12	1,19	10	0,99
Halcon 39	8	16	2,00	40	5,00	8	1,00	40	5,00
Charly	5,9	21	3,56	27	4,58	0	0,00	35	5,93
ALEX TANO	7,3	39	5,34	39	5,34
MALAGA 2	10,3	51	4,95
ELGIEGO64	7,5	33	4,40
obi1 obi2 obi123	7,2	29	4,03			7	0,97	0	0,00
