Personaje,Reliquia,Sinergia
Tarkin,3,EES
Tarkin,7,Lord Vader
Enfys Nest,6, Alzamiento - Pelotón
Hondo Ohnaka, 5, Doctor Aphra
Hondo Ohnaka, 5, Alzamiento - Pelotón
Hondo Ohnaka, 6, Alzamiento - Misión
Hondo Ohnaka, 7, Alzamiento - Pelotón
Hondo Ohnaka, 8, Alzamiento - Pelotón
Hondo Ohnaka, 9, Hondo Leyenda
Kelleran Beq,7,Alzamiento - Misión Especial
Kelleran Beq,7,Bo Katan Mandalor
Shaak Ti,7,Jedi Master Kenobi
Plo Koon,8,Ashoka Tano
Qui-Gon Jinn,3,Jedi Master Kenobi
Qui-Gon Jinn,7,Alzamiento - Pelotón
Aayla Secura,3,Jedi Master Kenobi
Aayla Secura,6,Alzamiento - Pelotón
Luminara Unduli,7,Alzamiento - Pelotón
Kit Fisto,5,Alzamiento - Mision
Barriss Offee,5,Ashoka Tano
Ima-Gun Di,5,Alzamiento - Pelotón
Jedi Consul,8,Alzamiento - Pelotón
Appo,5, Jedi Master Mace Windu
CX-2,5, Jedi Master Mace Windu
Diguised Clone Trooper,5, Jedi Master Mace Windu
Scorch,5, Jedi Master Mace Windu
Depa Billaba,5, Jedi Master Mace Windu
Temple Guard,5, Jedi Master Mace Windu
